"AI Chatbot","Assistant IA"
"New chat","Nouvelle conversation"
"Ask a question about your ERPNext data...","Posez une question sur vos données ERPNext..."
"Send","Envoyer"
"Answers only include data you are allowed to see. The chatbot is read-only.","Les réponses ne contiennent que les données auxquelles vous avez accès. Le chatbot est en lecture seule."
"AI-assisted","Assisté par IA"
"Built-in engine","Moteur intégré"
"Disabled","Désactivé"
"Clear the conversation?","Effacer la conversation ?"
"Retry","Réessayer"
"Download CSV","Télécharger CSV"
"Thinking...","Réflexion..."
"The chatbot is disabled. Please contact your administrator.","Le chatbot est désactivé. Veuillez contacter votre administrateur."
"Please enter a question.","Veuillez saisir une question."
"The question is too long.","La question est trop longue."
"You are sending messages too fast. Please wait a moment.","Vous envoyez des messages trop vite. Veuillez patienter un instant."
"Something went wrong while processing your request. Please try again.","Une erreur s'est produite lors du traitement de votre demande. Veuillez réessayer."
"You do not have permission to access this data.","Vous n'avez pas l'autorisation d'accéder à ces données."
"You do not have permission to use the chatbot.","Vous n'avez pas l'autorisation d'utiliser le chatbot."
"This data type is not available to the chatbot: {0}","Ce type de données n'est pas disponible pour le chatbot : {0}"
"The query is invalid.","La requête est invalide."
"Unknown field: {0}","Champ inconnu : {0}"
"Unsupported operator: {0}","Opérateur non pris en charge : {0}"
"Unsupported operation: {0}","Opération non prise en charge : {0}"
"The request is too complex.","La demande est trop complexe."
"Field is not numeric: {0}","Le champ n'est pas numérique : {0}"
"No results found.","Aucun résultat trouvé."
"Showing {0} of {1}","Affichage de {0} sur {1}"
"{0}: **{1}** ({2} documents)","{0} : **{1}** ({2} documents)"
"Highest: {0} ({1})","Le plus élevé : {0} ({1})"
"Documents","Documents"
"Total","Total"
"Average","Moyenne"
"Minimum","Minimum"
"Maximum","Maximum"
"Count","Nombre"
"Hello! I can answer questions about your ERPNext data. Try one of the examples below.","Bonjour ! Je peux répondre à vos questions sur vos données ERPNext. Essayez l'un des exemples ci-dessous."
"Sorry, I did not understand that question. Try for example: Show me today's sales, How many customers do we have?, What are the unpaid invoices?","Désolé, je n'ai pas compris la question. Essayez par exemple : Montre-moi les ventes d'aujourd'hui, Combien de clients avons-nous ?, Quelles sont les factures impayées ?"
"Today","Aujourd'hui"
"Yesterday","Hier"
"This week","Cette semaine"
"Last week","Semaine dernière"
"This month","Ce mois"
"Last month","Mois dernier"
"This quarter","Ce trimestre"
"This year","Cette année"
"Last year","Année dernière"
"Last 7 days","7 derniers jours"
"Last 30 days","30 derniers jours"
"Sales","Ventes"
"Purchases","Achats"
"Top customers by sales","Meilleurs clients par ventes"
"Top suppliers by purchases","Meilleurs fournisseurs par achats"
"Latest {0}","Derniers : {0}"
"Unpaid sales invoices","Factures de vente impayées"
"Unpaid purchase invoices","Factures d'achat impayées"
"Overdue sales invoices","Factures de vente en retard"
"Overdue purchase invoices","Factures d'achat en retard"
"Stock by item","Stock par article"
"Stock lines at zero or negative quantity","Lignes de stock à quantité nulle ou négative"
"{0} is a protected DocType and cannot be queried by the chatbot.","{0} est un DocType protégé et ne peut pas être interrogé par le chatbot."
"DocType {0} does not exist and was removed.","Le DocType {0} n'existe pas et a été retiré."
"Help","Aide"
"Search examples...","Rechercher des exemples..."
"All","Tout"
"Categories","Catégories"
"Example questions","Exemples de questions"
"No matching questions.","Aucune question correspondante."
"Could not load help.","Impossible de charger l'aide."
"Click a question to insert it into the chat box. You can edit it before sending.","Cliquez sur une question pour l'insérer dans la zone de saisie. Vous pouvez la modifier avant de l'envoyer."
"Browse example questions","Parcourir les exemples de questions"
"Search","Rechercher"
"I can answer questions about your ERPNext data, such as sales, purchases, customers, suppliers and stock. Click the Help button next to the message box to browse example questions.","Je peux répondre à vos questions sur vos données ERPNext : ventes, achats, clients, fournisseurs et stock. Cliquez sur le bouton Aide à côté de la zone de saisie pour parcourir des exemples de questions."
"Reload page","Recharger la page"
"Session expired","Session expirée"
"Your session has expired. Please refresh the page and sign in again.","Votre session a expiré. Veuillez rafraîchir la page et vous reconnecter."
"You may not have permission to access this data.","Vous n'avez peut-être pas l'autorisation d'accéder à ces données."
"Advanced AI (LLM)","IA avancée (LLM)"
"When off, questions are answered by the built-in rule-based engine only (no data leaves your server). When on, a configured AI provider is used to understand free-form questions.","Lorsque désactivé, les questions sont traitées uniquement par le moteur intégré à base de règles (aucune donnée ne quitte votre serveur). Lorsqu'activé, un fournisseur d'IA configuré est utilisé pour comprendre les questions en langage libre."
"Ask your administrator to configure an AI provider to enable this.","Demandez à votre administrateur de configurer un fournisseur d'IA pour activer cette option."
"Advanced AI mode is not configured by your administrator. Answering with the built-in engine instead.","Le mode IA avancée n'est pas configuré par votre administrateur. Réponse fournie avec le moteur intégré à la place."
"Advanced AI mode is temporarily unavailable. Answering with the built-in engine instead.","Le mode IA avancée est temporairement indisponible. Réponse fournie avec le moteur intégré à la place."
